track_name,track_add_date,track_add_time,multiple_artists_bool,name_of_artists,album_name,album_release_date,album_release_date_precision,number_of_tracks_in_album,position_in_playlist,track_duration_ms,track_popularity,track_explicit,images_path,data_collection_date
OMG,4/1/23,10:17:21,FALSE,['NewJeans'],NewJeans 'OMG',1/2/23,day,2,49,212253,93,FALSE,./images/omg_newjeans.jpg,4/1/23
Rara Vez,4/1/23,10:17:21,TRUE,"['Taiu', 'Milo j']",Rara Vez,2/8/23,day,1,50,128677,89,FALSE,./images/rara_vez_taiu.jpg,4/1/23
Flowers,4/2/23,9:59:23,FALSE,['Miley Cyrus'],Endless Summer Vacation,3/10/23,day,13,1,200600,88,FALSE,./images/flowers_miley_cyrus.jpg,4/2/23
TQG,4/2/23,9:59:23,TRUE,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2/24/23,day,17,2,197933,97,TRUE,./images/tqg_karol_g.jpg,4/2/23
Ella Baila Sola,4/2/23,9:59:23,TRUE,"['Eslabon Armado', 'Peso Pluma']",Ella Baila Sola,3/16/23,day,1,3,165671,91,FALSE,./images/ella_baila_sola_eslabon_armado.jpg,4/2/23
Kill Bill,4/2/23,9:59:23,FALSE,['SZA'],SOS,12/8/22,day,23,4,153946,95,FALSE,./images/kill_bill_sza.jpg,4/2/23
BESO,4/2/23,9:59:23,TRUE,"['ROSALÍA', 'Rauw Alejandro']",RR,3/24/23,day,3,5,194543,89,FALSE,./images/beso_rosala.jpg,4/2/23
Boy's a liar Pt. 2,4/2/23,9:59:23,TRUE,"['PinkPantheress', 'Ice Spice']",Boy's a liar Pt. 2,2/3/23,day,2,6,131013,97,FALSE,./images/boys_a_liar_pt_2_pinkpantheress.jpg,4/2/23
La Bebe - Remix,4/2/23,9:59:23,TRUE,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),3/17/23,day,2,7,234352,88,TRUE,./images/la_bebe_remix_yng_lvcas.jpg,4/2/23
As It Was,4/2/23,9:59:23,FALSE,['Harry Styles'],Harry's House,5/20/22,day,13,8,167303,91,FALSE,./images/as_it_was_harry_styles.jpg,4/2/23
Die For You (with Ariana Grande) - Remix,4/2/23,9:59:23,TRUE,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),3/14/23,day,21,9,232857,82,FALSE,./images/die_for_you_with_ariana_grande_remix_the_weeknd.jpg,4/2/23
Yandel 150,4/2/23,9:59:23,TRUE,"['Yandel', 'Feid']",Resistencia,1/13/23,day,17,10,216148,89,TRUE,./images/yandel_150_yandel.jpg,4/2/23
"Shakira: Bzrp Music Sessions, Vol. 53",4/2/23,9:59:23,TRUE,"['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",1/11/23,day,1,11,214945,97,FALSE,./images/shakira_bzrp_music_sessions_vol_53_bizarrap.jpg,4/2/23
FLOWER,4/2/23,9:59:23,FALSE,['JISOO'],ME,3/31/23,day,2,12,173134,73,FALSE,./images/flower_jisoo.jpg,4/2/23
Creepin' (with The Weeknd & 21 Savage),4/2/23,9:59:23,TRUE,"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,12/2/22,day,15,13,221520,96,TRUE,./images/creepin_with_the_weeknd_21_savage_metro_boomin.jpg,4/2/23
Calm Down (with Selena Gomez),4/2/23,9:59:23,TRUE,"['Rema', 'Selena Gomez']",Calm Down (with Selena Gomez),8/25/22,day,1,14,239317,95,FALSE,./images/calm_down_with_selena_gomez_rema.jpg,4/2/23
Like Crazy,4/2/23,9:59:23,FALSE,['Jimin'],FACE,3/24/23,day,6,15,212241,87,FALSE,./images/like_crazy_jimin.jpg,4/2/23
PRC,4/2/23,9:59:23,TRUE,"['Peso Pluma', 'Natanael Cano']",PRC,1/23/23,day,1,16,184066,92,TRUE,./images/prc_peso_pluma.jpg,4/2/23
AMG,4/2/23,9:59:23,TRUE,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",AMG,11/24/22,day,1,17,174942,92,TRUE,./images/amg_natanael_cano.jpg,4/2/23
Anti-Hero,4/2/23,9:59:23,FALSE,['Taylor Swift'],Midnights,10/21/22,day,13,18,200690,94,FALSE,./images/antihero_taylor_swift.jpg,4/2/23
La Bachata,4/2/23,9:59:23,FALSE,['Manuel Turizo'],2000,3/17/23,day,15,19,162637,80,FALSE,./images/la_bachata_manuel_turizo.jpg,4/2/23
Unholy (feat. Kim Petras),4/2/23,9:59:23,TRUE,"['Sam Smith', 'Kim Petras']",Gloria,1/27/23,day,13,20,156943,86,FALSE,./images/unholy_feat_kim_petras_sam_smith.jpg,4/2/23
Cupid - Twin Ver.,4/2/23,9:59:23,FALSE,['FIFTY FIFTY'],The Beginning: Cupid,2/24/23,day,3,21,174253,12,FALSE,./images/cupid_twin_ver_fifty_fifty.jpg,4/2/23
